Common Fish Name,CB's Recommended Fish Food,Temperament,Coral Safety,Grows To,Starting Tank Size,Lifespan,Sand Substrate Required,Feeding Difficulty,Feeding Times per Day,Typical Color,Community Suitability,Temperature Range,Salinity Range,Water PH,Water Alkalinity Recommendation,Water Flow Preference,Origin,Scientific Name,QR,SKU
Angel Cream (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,6 Inches,29 Gallon,5-10 Years,No,Moderate,2-3,Pale cream/white body,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Centropyge sp. (cream/leucistic morph),https://bubba751.github.io/Saltwater-HTML-Files/Angel Cream (Large).html,9040620
Angel Cream (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,6 Inches,29 Gallon,5-10 Years,No,Moderate,2-3,Pale cream/white body,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Centropyge sp. (cream/leucistic morph),https://bubba751.github.io/Saltwater-HTML-Files/Angel Cream (Medium).html,4636653
Angel Cream (Small),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,6 Inches,29 Gallon,5-10 Years,No,Moderate,2-3,Pale cream/white body,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Centropyge sp. (cream/leucistic morph),https://bubba751.github.io/Saltwater-HTML-Files/Angel Cream (Small).html,3701234
Angel Eibli,"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,8 Inches,55 Gallon,8-12 Years,No,Easy,2-3,"Gray-brown body with vertical orange stripes, blue-edged tail",Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Centropyge eibli,https://bubba751.github.io/Saltwater-HTML-Files/Angel Eibli.html,AD05
Angel Emperor Adult (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,20+ Years,No,Easy,2-3,"Blue and yellow horizontal stripes, yellow face mask",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,"Indo-Pacific, Red Sea",Pomacanthus imperator,https://bubba751.github.io/Saltwater-HTML-Files/Angel Emperor Adult (Large).html,AL10
Angel Emperor Juvenile (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,20+ Years,No,Easy,2-3,"Dark blue body with white concentric rings, changes to adult pattern with age",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,"Indo-Pacific, Red Sea",Pomacanthus imperator (juvenile),https://bubba751.github.io/Saltwater-HTML-Files/Angel Emperor Juvenile (Medium).html,AL09
Angel Emperor Juvenile (Small),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,20+ Years,No,Easy,2-3,"Dark blue body with white concentric rings, changes to adult pattern with age",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,"Indo-Pacific, Red Sea",Pomacanthus imperator (juvenile),https://bubba751.github.io/Saltwater-HTML-Files/Angel Emperor Juvenile (Small).html,AL08
Angel Flagfin,"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,8 Inches,55 Gallon,8-12 Years,No,Moderate,2-3,"Bright yellow body, blue lips, black spot near eye",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Apolemichthys trimaculatus (Flagfin/Threespot),https://bubba751.github.io/Saltwater-HTML-Files/Angel Flagfin.html,AL07
Angel Flagfin (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,8 Inches,55 Gallon,8-12 Years,No,Moderate,2-3,"Bright yellow body, blue lips, black spot near eye",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Apolemichthys trimaculatus (Flagfin/Threespot),https://bubba751.github.io/Saltwater-HTML-Files/Angel Flagfin (Large).html,AL07
Angel Flagfin (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,8 Inches,55 Gallon,8-12 Years,No,Moderate,2-3,"Bright yellow body, blue lips, black spot near eye",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Apolemichthys trimaculatus (Flagfin/Threespot),https://bubba751.github.io/Saltwater-HTML-Files/Angel Flagfin (Medium).html,J141326
Angel Flame (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,4 Inches,29 Gallon,5-10 Years,No,Easy,2-3,Bright red-orange with vertical black bars,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Central/Western Pacific,Centropyge loricula,https://bubba751.github.io/Saltwater-HTML-Files/Angel Flame (Large).html,AD08
Angel Flame (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,4 Inches,29 Gallon,5-10 Years,No,Easy,2-3,Bright red-orange with vertical black bars,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Central/Western Pacific,Centropyge loricula,https://bubba751.github.io/Saltwater-HTML-Files/Angel Flame (Medium).html,AD07
Angel Flame (Small),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,4 Inches,29 Gallon,5-10 Years,No,Easy,2-3,Bright red-orange with vertical black bars,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Central/Western Pacific,Centropyge loricula,https://bubba751.github.io/Saltwater-HTML-Files/Angel Flame (Small).html,AD06
Angel Flameback,"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,3 Inches,29 Gallon,5-8 Years,No,Easy,2-3,Deep blue/purple body with orange-red patch on back,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Western Indian Ocean / Western Atlantic,Centropyge acanthops / aurantonotus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Flameback.html,AD09
Angel Flameback (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,3 Inches,29 Gallon,5-8 Years,No,Easy,2-3,Deep blue/purple body with orange-red patch on back,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Western Indian Ocean / Western Atlantic,Centropyge acanthops / aurantonotus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Flameback (Large).html,AD09
Angel Flameback (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,3 Inches,29 Gallon,5-8 Years,No,Easy,2-3,Deep blue/purple body with orange-red patch on back,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Western Indian Ocean / Western Atlantic,Centropyge acanthops / aurantonotus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Flameback (Medium).html,9004232
Angel Koran (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,10-15 Years,No,Easy,2-3,Dark green/blue body with pale blue rings and spots,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Pomacanthus semicirculatus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Koran (Large).html,724211A
Angel Koran (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,10-15 Years,No,Easy,2-3,Dark green/blue body with pale blue rings and spots,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Pomacanthus semicirculatus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Koran (Medium).html,AL12
Angel Koran (Small),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,10-15 Years,No,Easy,2-3,Dark green/blue body with pale blue rings and spots,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Pomacanthus semicirculatus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Koran (Small).html,AL11
Angel Lemon Peel,"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,5 Inches,29 Gallon,5-10 Years,No,Easy,2-3,Bright solid yellow with faint blue eye-ring,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Western Pacific,Centropyge flavissima,https://bubba751.github.io/Saltwater-HTML-Files/Angel Lemon Peel.html,AD10
Angel Majestic (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Not Reef Safe,10 Inches,55 Gallon,10-15 Years,No,Moderate,2-3,Deep blue body with yellow saddle and light blue stripes,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Pomacanthus navarchus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Majestic (Large).html,AL14
Angel Majestic (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Not Reef Safe,10 Inches,55 Gallon,10-15 Years,No,Moderate,2-3,Deep blue body with yellow saddle and light blue stripes,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Pomacanthus navarchus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Majestic (Medium).html,AL13
Angel Passer,"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,10-15 Years,No,Moderate,2-3,Deep blue-black body with yellow tail and pectoral fins,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Eastern Pacific,Holacanthus passer,https://bubba751.github.io/Saltwater-HTML-Files/Angel Passer.html,AL15
Angel Poma,"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,10-15 Years,No,Moderate,2-3,Varies by species,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Pomacanthus spp.,https://bubba751.github.io/Saltwater-HTML-Files/Angel Poma.html,AL17
Angel Potters,"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,5 Inches,29 Gallon,5-10 Years,No,Moderate,2-3,Orange body with fine blue vertical striping,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii,Centropyge potteri,https://bubba751.github.io/Saltwater-HTML-Files/Angel Potters.html,AD11
Angel Queen (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,15Inches,55 Gallon,15-20 Years,No,Easy,2-3,"Blue-green body, yellow fins, crown-like spot on forehead",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,"Western Atlantic, Caribbean",Holacanthus ciliaris,https://bubba751.github.io/Saltwater-HTML-Files/Angel Queen (Large).html,AL19
Angel Queen (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,15Inches,55 Gallon,15-20 Years,No,Easy,2-3,"Blue-green body, yellow fins, crown-like spot on forehead",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,"Western Atlantic, Caribbean",Holacanthus ciliaris,https://bubba751.github.io/Saltwater-HTML-Files/Angel Queen (Medium).html,5228744
Angel Rusty,"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,5 Inches,29 Gallon,5-10 Years,No,Easy,2-3,Rusty orange-brown body with dark blue-edged fins,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Western Pacific,Centropyge ferrugata,https://bubba751.github.io/Saltwater-HTML-Files/Angel Rusty.html,AL18
Angel Singapore,"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,4 Inches,29 Gallon,5-10 Years,No,Easy,2-3,"Gray body with orange highlights, blue-edged fins",Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,"Centropyge sp. (Singapore angelfish, often eibli/vroliki hybrids)",https://bubba751.github.io/Saltwater-HTML-Files/Angel Singapore.html,AL20
Angel Singapore (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,4 Inches,29 Gallon,5-10 Years,No,Easy,2-3,"Gray body with orange highlights, blue-edged fins",Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,"Centropyge sp. (Singapore angelfish, often eibli/vroliki hybrids)",https://bubba751.github.io/Saltwater-HTML-Files/Angel Singapore (Large).html,AL20
Angel Singapore (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,4 Inches,29 Gallon,5-10 Years,No,Easy,2-3,"Gray body with orange highlights, blue-edged fins",Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,"Centropyge sp. (Singapore angelfish, often eibli/vroliki hybrids)",https://bubba751.github.io/Saltwater-HTML-Files/Angel Singapore (Medium).html,864269E
Angel Six Bar,"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,10 Inches,55 Gallon,10-15 Years,No,Moderate,2-3,Dark body with light blue vertical bars,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Pomacanthus sexstriatus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Six Bar.html,AL21
Angel Yellow,"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,6 Inches,55 Gallon,8-12 Years,No,Easy,2-3,Solid bright yellow body,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Western Pacific,Centropyge heraldi or Apolemichthys xanthurus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Yellow.html,AD12
Angel Yellow (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,6 Inches,55 Gallon,8-12 Years,No,Easy,2-3,Solid bright yellow body,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Western Pacific,Centropyge heraldi or Apolemichthys xanthurus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Yellow (Large).html,AD12
Angel Yellow (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,6 Inches,55 Gallon,8-12 Years,No,Easy,2-3,Solid bright yellow body,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Western Pacific,Centropyge heraldi or Apolemichthys xanthurus,https://bubba751.github.io/Saltwater-HTML-Files/Angel Yellow (Medium).html,464135B
Anthias,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,3-5 Inches,29 Gallon,3-5 Years,No,Moderate-Difficult,2-3,Orange-pink with purple highlights (varies by species),"Peaceful/Semi-Aggressive Community, best in groups",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Indo-Pacific,Pseudanthias spp.,https://bubba751.github.io/Saltwater-HTML-Files/Anthias.html,MS01
Basslet Harlequin,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Semi-Aggressive,Reef Safe,4 Inches,29 Gallon,5-8 Years,No,Easy,2-3,White body with bold black and yellow bars/spots,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,"Western Atlantic, Caribbean",Serranus tigrinus,https://bubba751.github.io/Saltwater-HTML-Files/Basslet Harlequin.html,BS02
Basslet Royal Gramma (Large),"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,3 Inches,29 Gallon,5-8 Years,No,Easy,2-3,"Purple front half, bright yellow rear half",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Caribbean,Gramma loreto,https://bubba751.github.io/Saltwater-HTML-Files/Basslet Royal Gramma (Large).html,BS01
Basslet Royal Gramma (Medium),"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,3 Inches,29 Gallon,5-8 Years,No,Easy,2-3,"Purple front half, bright yellow rear half",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Caribbean,Gramma loreto,https://bubba751.github.io/Saltwater-HTML-Files/Basslet Royal Gramma (Medium).html,7321737
Basslet Royal Gramma (Small),"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,3 Inches,29 Gallon,5-8 Years,No,Easy,2-3,"Purple front half, bright yellow rear half",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Caribbean,Gramma loreto,https://bubba751.github.io/Saltwater-HTML-Files/Basslet Royal Gramma (Small).html,E970620
Blenny Algae,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,5 Inches,20 Gallon,3-5 Years,No,Easy,2-3,Mottled brown/tan/olive with speckling,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Salarias fasciatus (Lawnmower-type algae blenny),https://bubba751.github.io/Saltwater-HTML-Files/Blenny Algae.html,BL01
Blenny Bicolor,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,4 Inches,20 Gallon,3-5 Years,No,Easy,2-3,"Front half orange-brown, rear half dark brown/black",Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Ecsenius bicolor,https://bubba751.github.io/Saltwater-HTML-Files/Blenny Bicolor.html,BL02
Blenny Canary,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,4 Inches,20 Gallon,3-5 Years,No,Easy,2-3,Bright yellow body,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Western Pacific,Meiacanthus oualanensis,https://bubba751.github.io/Saltwater-HTML-Files/Blenny Canary.html,BL03
Blenny Lawnmower,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,5 Inches,20 Gallon,3-5 Years,No,Easy,2-3,Mottled brown/tan with dark speckling,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Salarias fasciatus,https://bubba751.github.io/Saltwater-HTML-Files/Blenny Lawnmower.html,BL04
Blenny Midas,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,5 Inches,20 Gallon,3-5 Years,No,Easy,2-3,"Bright yellow to orange, mimics fang blennies/anthias",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,"Red Sea, Indian Ocean",Ecsenius midas,https://bubba751.github.io/Saltwater-HTML-Files/Blenny Midas.html,BL05
Blenny Pearly,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,3 Inches,20 Gallon,3-5 Years,No,Easy,2-3,Cream/tan body with pearl-like spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Ecsenius pictus / stigmatura (Pearly/Yellow-tail),https://bubba751.github.io/Saltwater-HTML-Files/Blenny Pearly.html,BL06
Blenny Red Scooter,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,3 Inches,20 Gallon,3-5 Years,Yes,Moderate,2-3,"Reddish-orange with blue spotting (dragonet, not a true blenny)",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low,Indo-Pacific,Synchiropus stellatus,https://bubba751.github.io/Saltwater-HTML-Files/Blenny Red Scooter.html,BL08
Blenny Ruby Red Dragonet,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,3 Inches,20 Gallon,3-5 Years,Yes,Moderate,2-3,Deep red body with blue spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low,Red Sea,Synchiropus sycorax,https://bubba751.github.io/Saltwater-HTML-Files/Blenny Ruby Red Dragonet.html,BL07
Blenny Starry,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,4 Inches,20 Gallon,3-5 Years,No,Easy,2-3,Dark body covered in small white/star-like spots,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Indo-Pacific,Salarias ramosus / Entomacrodus striatus (Starry blenny),https://bubba751.github.io/Saltwater-HTML-Files/Blenny Starry.html,BL09
Blenny Tailspot,"Beta Brine, ROE, Emerald Entree, Marine Cuisine",Peaceful,Reef Safe,4 Inches,20 Gallon,3-5 Years,No,Easy,2-3,Tan/brown body with a distinct dark spot at base of tail,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Low-Moderate,Western Pacific,Ecsenius stigmatura,https://bubba751.github.io/Saltwater-HTML-Files/Blenny Tailspot.html,BL10
Butterfly Copperband,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Reef Caution,6 Inches,55 Gallon,5-8 Years,No,Moderate,2-3,"White/yellow body with orange vertical bars, long snout",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Chelmon rostratus,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Copperband.html,BU01
Butterfly Heniochus (Black & White),"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,8 Inches,55 Gallon,5-8 Years,No,Easy,2-3,"White body with black vertical bands, long dorsal filament",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Heniochus diphreutes / acuminatus,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Heniochus (Black & White).html,BU02
Butterfly Klein,"Beta Brine, Artci Pods, ROE, Marine Cuisine",Peaceful,Not Reef Safe,6 Inches,55 Gallon,5-8 Years,No,Moderate,2-3,Tan/brown body with a dark bar through the eye,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Chaetodon kleinii,https://bubba751.github.io/Saltwater-HTML-Files/Butterfly Klein.html,BU03
